2024-02-17 23:54:31,948 - Starting new HTTPS connection (1): statistik.bra.se:443
2024-02-17 23:54:32,232 - https://statistik.bra.se:443 "GET /solwebb/action/start?menykatalogid=1 HTTP/1.1" 200 None
2024-02-17 23:54:32,333 - https://statistik.bra.se:443 "GET /solwebb/action/anmalda/urval/urval?menyid=37 HTTP/1.1" 200 None
2024-02-17 23:54:32,390 - Executing request 1/1230 for topic 37
2024-02-17 23:54:32,428 - https://statistik.bra.se:443 "POST /solwebb/action/anmalda/urval/vantapopup HTTP/1.1" 200 1084
2024-02-17 23:54:34,305 - https://statistik.bra.se:443 "GET /solwebb/action/anmalda/urval/sok HTTP/1.1" 200 700
2024-02-17 23:54:36,844 - https://statistik.bra.se:443 "POST /solwebb/action/anmalda/resultat/dbfil HTTP/1.1" 200 None
2024-02-17 23:54:37,231 - Saving response for request 7677
2024-02-17 23:54:37,231 - Response content: Region;Brott;År;Period;Antal;/100 000 inv
Uppgift om kommun saknas;5 kap. Ärekränkningsbrott;2010;Mar;6;0;
Uppgift om kommun saknas;5 kap. Ärekränkningsbrott;2010;Kvartal 2;6;0;
Uppgift om kommun saknas;5 kap. Ärekränkningsbrott;2012;Maj;9;0;
Uppgift om kommun saknas;5 kap. Ärekränkningsbrott;2013;Kvartal 2;11;0;
Dalarnas län;3-7 kap. Brott mot person;1995;Feb;..;..;
Dalarnas län;3-7 kap. Brott mot person;1996;Apr;..;..;
Dalarnas län;3-7 kap. Brott mot person;1996;Maj;..;..;
Dalarnas län;3-7 kap. Brott mot person;2000;Sep;..;..;
Dalarnas län;3-7 kap. Brott mot person;2005;Jun;..;..;
Dalarnas län;3-7 kap. Brott mot person;2005;Kvartal 1;..;..;
Dalarnas län;3-7 kap. Brott mot person;2006;Apr;..;..;
Dalarnas län;3-7 kap. Brott mot person;2008;Apr;..;..;
Dalarnas län;3-7 kap. Brott mot person;2010;Mar;..;..;
Dalarnas län;3-7 kap. Brott mot person;2010;Kvartal 2;..;..;
Dalarnas län;3-7 kap. Brott mot person;2012;Maj;..;..;
Dalarnas län;3-7 kap. Brott mot person;2013;Kvartal 2;..;..;
Dalarnas län;5 kap. Ärekränkningsbrott;1995;Feb;13;4;
Dalarnas län;5 kap. Ärekränkningsbrott;1996;Apr;16;6;
Dalarnas län;5 kap. Ärekränkningsbrott;1996;Maj;14;5;
Dalarnas län;5 kap. Ärekränkningsbrott;2000;Sep;4;1;
Dalarnas län;5 kap. Ärekränkningsbrott;2005;Jun;14;5;
Dalarnas län;5 kap. Ärekränkningsbrott;2005;Kvartal 1;63;23;
Dalarnas län;5 kap. Ärekränkningsbrott;2006;Apr;14;5;
Dalarnas län;5 kap. Ärekränkningsbrott;2008;Apr;18;7;
Dalarnas län;5 kap. Ärekränkningsbrott;2010;Mar;39;14;
Dalarnas län;5 kap. Ärekränkningsbrott;2010;Kvartal 2;95;34;
Dalarnas län;5 kap. Ärekränkningsbrott;2012;Maj;28;10;
Dalarnas län;5 kap. Ärekränkningsbrott;2013;Kvartal 2;89;32;
Avesta kommun;3-7 kap. Brott mot person;1995;Feb;..;..;
Avesta kommun;3-7 kap. Brott mot person;1996;Apr;..;..;
Avesta kommun;3-7 kap. Brott mot person;1996;Maj;..;..;
Avesta kommun;3-7 kap. Brott mot person;2000;Sep;..;..;
Avesta kommun;3-7 kap. Brott mot person;2005;Jun;..;..;
Avesta kommun;3-7 kap. Brott mot person;2005;Kvartal 1;..;..;
Avesta kommun;3-7 kap. Brott mot person;2006;Apr;..;..;
Avesta kommun;3-7 kap. Brott mot person;2008;Apr;..;..;
Avesta kommun;3-7 kap. Brott mot person;2010;Mar;..;..;
Avesta kommun;3-7 kap. Brott mot person;2010;Kvartal 2;..;..;
Avesta kommun;3-7 kap. Brott mot person;2012;Maj;..;..;
Avesta kommun;3-7 kap. Brott mot person;2013;Kvartal 2;..;..;
Avesta kommun;5 kap. Ärekränkningsbrott;1995;Feb;..;..;
Avesta kommun;5 kap. Ärekränkningsbrott;1996;Apr;1;4;
Avesta kommun;5 kap. Ärekränkningsbrott;1996;Maj;..;..;
Avesta kommun;5 kap. Ärekränkningsbrott;2000;Sep;..;..;
Avesta kommun;5 kap. Ärekränkningsbrott;2005;Jun;..;..;
Avesta kommun;5 kap. Ärekränkningsbrott;2005;Kvartal 1;2;9;
Avesta kommun;5 kap. Ärekränkningsbrott;2006;Apr;1;5;
Avesta kommun;5 kap. Ärekränkningsbrott;2008;Apr;1;5;
Avesta kommun;5 kap. Ärekränkningsbrott;2010;Mar;2;9;
Avesta kommun;5 kap. Ärekränkningsbrott;2010;Kvartal 2;11;51;
Avesta kommun;5 kap. Ärekränkningsbrott;2012;Maj;2;9;
